Primary streaming service,BPM
YouTube Music,80
Spotify,118
YouTube Music,125
Spotify,109
Spotify,156
Spotify,105
Spotify,
Pandora,72
Spotify,148
Spotify,200
YouTube Music,113
Spotify,191
YouTube Music,140
Spotify,40
Other streaming service,173
Spotify,180
YouTube Music,100
Spotify,123
Spotify,145
I do not use a streaming service.,55
Spotify,77
Pandora,4
Spotify,150
YouTube Music,73
Spotify,155
Spotify,
Spotify,89
Spotify,110
Spotify,140
Spotify,135
Apple Music,125
Spotify,110
Other streaming service,140
Apple Music,105
Spotify,112
Spotify,96
Spotify,
Spotify,155
Spotify,174
Apple Music,93
Apple Music,78
Spotify,
Spotify,174
I do not use a streaming service.,120
Spotify,75
Pandora,94
Spotify,180
Spotify,115
Spotify,128
I do not use a streaming service.,112
I do not use a streaming service.,140
Spotify,143
YouTube Music,72
I do not use a streaming service.,100
Other streaming service,120
Spotify,
YouTube Music,
Spotify,105
I do not use a streaming service.,119
Spotify,
YouTube Music,137
Spotify,178
Spotify,133
Spotify,72
Spotify,
YouTube Music,133
YouTube Music,80
Other streaming service,146
I do not use a streaming service.,88
YouTube Music,132
Spotify,102
YouTube Music,91
Other streaming service,127
Other streaming service,82
Spotify,141
YouTube Music,114
YouTube Music,148
YouTube Music,156
Spotify,185
Spotify,114
Spotify,120
Spotify,80
I do not use a streaming service.,
YouTube Music,
I do not use a streaming service.,116
Spotify,99
I do not use a streaming service.,129
Pandora,131
Spotify,95
Spotify,80
Spotify,204
I do not use a streaming service.,128
Spotify,140
Spotify,159
Apple Music,104
Spotify,97
Spotify,80
Spotify,134
Spotify,
Other streaming service,135
Spotify,129
YouTube Music,
Other streaming service,
Other streaming service,110
I do not use a streaming service.,180
YouTube Music,70
YouTube Music,
Spotify,
YouTube Music,103
Spotify,99
Apple Music,117
Spotify,102
I do not use a streaming service.,127
Spotify,93
Spotify,
Apple Music,146
Spotify,0
I do not use a streaming service.,150
Spotify,85
I do not use a streaming service.,122
I do not use a streaming service.,
Other streaming service,120
YouTube Music,120
Spotify,150
I do not use a streaming service.,
Spotify,174
Apple Music,112
Spotify,180
Spotify,121
I do not use a streaming service.,98
Spotify,118
Apple Music,
Other streaming service,135
Spotify,
Spotify,105
Spotify,122
YouTube Music,
Spotify,136
Spotify,165
Spotify,130
Spotify,
Spotify,115
Other streaming service,140
Spotify,95
YouTube Music,150
Spotify,97
I do not use a streaming service.,
Spotify,
Spotify,122
I do not use a streaming service.,150
Spotify,
Spotify,125
Spotify,96
Spotify,
Spotify,137
Spotify,174
Spotify,210
Spotify,129
Spotify,112
Pandora,8
Spotify,999999999
Spotify,81
Pandora,153
Spotify,120
